#{"t_start": 1769854650.485002, "env_id": "None"}
r,l,t
-90.789306,4,10676.322174
89.075354,6,10679.2045
-90.50722,2,10686.741807
-91.351903,3,10689.513232
-90.0,1,10694.192148
-90.97104,6,10697.092407
-90.725673,4,10704.366046
-91.973655,8,10713.917892
-90.573098,2,10719.415829
-90.731921,2,10725.593031
-90.646116,3,10732.145647
-90.0,1,10736.763289
-91.462188,11,10739.964828
-90.270844,1,10744.678096
-91.116308,4,10747.524236
-90.0,1,10754.79631
-90.632414,3,10757.590502
-91.698719,13,10760.695753
-92.149676,6,10768.72467
-91.063311,3,10771.521661
-100.619815,49,10974.73351
-92.1669,11,10986.479797
-90.0,1,10992.754652
87.150647,13,10995.988636
-91.022047,3,10998.748374
-91.606698,8,11001.711305
-91.226161,3,11004.460577
-90.0,1,11009.08146
-39.53008,200,11147.226327
-91.462585,7,11154.125426
-91.724392,12,11165.36043
-92.109415,4,11168.20766
-90.932991,3,11173.32739
-90.0,1,11179.235672
88.952342,6,11182.821899
-91.344149,9,11192.346194
-90.120346,1,11195.129756
-93.324267,28,11216.91658
-93.673231,17,11235.948376
-90.126732,1,11238.945084
-91.353061,3,11243.971926
-91.282727,7,11246.940276
-91.950624,8,11250.572611
-91.885329,11,11257.987075
86.203775,14,11261.244596
-93.055317,20,11270.99132
-90.247246,1,11273.719823
-94.165573,18,11277.003638
-90.741578,7,11283.882644
-90.0,1,11290.148951
-90.0,1,11294.822598
-90.840328,3,11299.914222
-90.0,1,11306.218304
-91.312061,3,11313.110326
-91.034576,4,11321.136357
-91.105032,4,11326.596712
-92.628342,12,11329.782242
-91.131894,3,11334.917853
