Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
357,2,-90.92,6.22,1.00,0
358,1,-90.00,0.00,0.00,0
359,4,-91.15,9.34,3.00,0
360,5,-91.98,4.07,138.29,0
361,3,-90.86,11.07,2.00,0
362,2,-90.95,12.45,1.00,0
363,2,-90.54,15.20,56.52,0
364,2,-90.18,42.91,0.00,0
365,1,-90.00,0.00,0.00,0
366,3,-91.01,24.81,23.67,0
367,8,87.69,21.38,33.12,1
368,11,-92.20,9.96,89.66,0
369,4,-91.29,12.14,109.79,0
370,7,-91.12,24.26,70.68,0
371,1,-90.00,0.00,0.00,0
372,14,-93.04,6.03,-39.14,0
373,5,-91.92,24.07,-102.78,0
374,200,-39.97,0.00,199.65,0
375,8,-91.08,7.57,6.18,0
376,1,-90.00,0.00,0.00,0
377,9,87.77,21.50,125.58,1
378,4,-91.21,11.81,-75.57,0
379,1,-90.18,29.05,0.00,0
380,2,-90.14,36.45,0.00,0
381,3,-90.99,11.07,2.00,0
382,200,-47.55,0.87,515.25,0
383,6,-91.37,20.91,-83.00,0
384,4,-90.98,31.90,17.91,0
385,2,-90.16,33.86,0.00,0
386,6,87.91,21.53,61.71,1
387,9,-91.74,9.46,67.57,0
388,10,-93.08,12.13,350.04,0
389,3,-90.64,8.72,2.00,0
390,1,-90.08,29.05,0.00,0
391,11,-93.28,15.98,328.15,0
392,14,-92.80,3.57,37.57,0
393,5,-91.39,5.94,91.61,0
394,7,-90.90,4.61,6.00,0
395,6,-91.89,4.97,69.86,0
396,6,88.97,16.18,3.00,1
397,1,-90.00,0.00,0.00,0
398,1,-90.10,37.35,0.00,0
399,6,-92.11,13.83,209.24,0
400,2,-90.34,23.42,-34.34,0
401,23,86.10,8.58,-86.09,1
402,5,-91.61,6.36,37.50,0
403,7,-91.87,5.31,99.62,0
404,4,-90.78,5.36,57.26,0
405,8,-91.37,4.03,42.89,0
406,9,-91.83,3.80,79.25,0
407,20,-94.27,6.01,46.56,0
408,3,-91.15,3.41,51.85,0
409,8,-91.58,0.66,20.19,0
410,7,-90.95,9.22,5.00,0
411,8,-91.86,2.80,11.11,0
412,3,-90.74,25.89,-44.78,0
413,2,-91.00,22.59,179.32,0
414,2,-90.71,14.52,1.00,0
415,1,-90.00,0.00,0.00,0
416,3,-91.45,16.02,63.53,0
417,1,-90.00,0.00,0.00,0
418,3,-90.68,8.30,2.00,0
419,6,89.36,30.96,-96.96,1
420,1,-90.00,0.00,0.00,0
421,1,-90.53,14.85,105.89,0
422,3,-91.32,37.75,237.47,0
423,1,-90.00,0.00,0.00,0
424,4,-91.04,17.48,100.39,0
425,2,-90.65,6.22,1.00,0
426,8,-91.78,6.98,2.35,0
427,5,-91.20,16.34,-22.75,0
428,1,-90.00,0.00,0.00,0
429,3,-90.96,10.84,71.47,0
430,5,-91.30,18.29,3.00,0
431,1,-90.00,0.00,0.00,0
432,6,-90.93,16.17,14.34,0
433,7,-91.64,13.50,80.89,0
434,16,-94.18,10.28,-13.27,0
435,6,-91.33,21.74,-42.78,0
436,4,-90.64,35.65,-33.34,0
437,8,87.53,18.92,-36.74,1
438,3,-90.53,11.39,1.00,0
439,5,-91.17,15.18,3.00,0
440,12,-92.77,4.49,70.83,0
441,1,-90.00,0.00,0.00,0
442,7,-91.45,11.69,-4.43,0
443,8,-92.90,11.91,370.41,0
444,2,-90.11,15.80,0.00,0
445,2,-91.01,8.32,135.01,0
446,6,88.78,28.75,87.45,1
447,1,-90.00,0.00,0.00,0
448,3,-90.43,24.32,31.32,0
449,4,-90.72,11.94,-87.66,0
450,1,-90.00,0.00,0.00,0
