Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
446,4,23.01,34.47,280.34,True
447,5,9.07,18.88,135.28,True
448,13,-35.34,3.36,129.60,False
449,2,-11.51,20.15,59.06,False
450,8,10.11,22.85,420.07,True
451,3,15.84,32.37,301.56,True
452,3,22.66,50.90,463.14,True
453,13,-37.65,0.00,28.00,False
454,2,1.78,48.55,278.48,False
455,6,-18.11,6.43,61.08,False
456,7,-12.30,15.50,122.74,False
457,7,-20.44,5.93,106.16,False
458,10,-7.58,15.06,292.22,True
459,9,6.66,14.67,459.41,True
460,14,-24.49,9.22,227.41,False
461,20,-19.88,9.38,193.23,True
462,3,-4.74,50.90,324.64,False
463,1,-7.50,41.50,62.54,False
464,14,1.96,12.45,225.29,True
465,8,3.82,17.24,129.00,True
466,7,-22.21,8.88,101.69,False
467,4,26.32,42.27,399.74,True
468,3,-4.64,32.37,210.23,False
469,2,-5.55,48.55,163.06,False
470,11,4.85,9.40,193.18,True
471,12,-32.16,3.46,133.54,False
472,6,6.46,19.90,173.01,True
473,7,1.84,10.45,154.17,True
474,5,-16.82,8.53,56.69,False
475,3,-13.91,8.32,24.65,False
476,7,-25.41,8.20,54.02,False
477,7,-1.02,22.87,334.61,False
478,8,-20.80,12.47,111.78,False
479,7,-26.30,4.41,30.24,False
480,12,-30.32,3.46,195.65,False
481,4,11.33,23.44,139.61,True
482,4,17.62,30.44,300.48,True
483,4,-12.89,20.75,105.12,False
484,3,-13.90,19.39,6.81,False
485,15,-23.76,7.05,86.88,True
486,3,-9.66,31.77,54.75,False
487,3,-7.08,27.18,55.56,False
488,12,-10.78,10.61,180.16,True
489,12,-8.44,10.49,270.23,True
490,3,-5.42,21.62,69.06,False
491,4,-8.87,6.44,117.66,False
492,8,-20.37,15.17,178.10,False
493,10,-39.96,0.00,29.55,False
494,3,-9.60,7.64,17.30,False
495,6,-9.38,21.88,246.99,False
496,8,-9.40,15.44,306.60,False
497,4,-17.98,12.26,14.90,False
498,6,-24.87,0.00,5.00,False
499,10,1.67,10.72,196.34,True
500,3,-11.15,0.00,74.27,False
501,14,-43.98,3.63,46.42,False
502,4,13.26,32.76,279.01,True
503,2,-9.08,24.92,3.14,False
504,4,-18.74,4.03,15.39,False
505,3,-12.00,32.37,117.90,False
506,10,-33.15,2.01,27.22,False
507,6,15.22,25.70,298.54,True
508,10,-17.10,12.45,274.95,False
509,7,1.79,16.99,357.69,False
510,6,12.33,24.15,359.33,True
511,4,12.70,33.11,322.38,True
512,10,-5.41,15.10,504.87,False
513,4,-8.84,29.62,139.33,False
514,5,5.48,22.17,137.00,True
515,7,-5.40,17.67,200.46,False
516,12,-33.27,10.12,166.86,False
517,8,-15.19,19.58,166.79,False
518,10,-19.91,6.92,114.98,False
519,11,-11.68,5.10,203.61,True
520,8,-27.14,1.01,94.32,False
521,6,9.95,23.51,256.27,True
522,2,-5.97,48.55,232.31,False
523,3,12.00,24.88,203.21,True
524,8,6.85,13.22,221.08,True
525,8,21.31,28.46,663.33,True
526,9,-29.73,1.86,67.24,False
527,3,22.97,43.04,231.77,True
528,6,8.38,41.63,825.63,False
529,8,-26.97,5.19,110.44,False
530,7,-14.64,10.58,122.24,False
531,12,-13.35,16.89,397.03,False
532,3,10.66,30.79,202.48,True
533,3,23.41,50.90,463.14,True
534,1,-6.54,41.50,83.39,False
535,6,-15.83,13.83,167.54,False
536,8,21.21,21.25,367.35,True
537,8,-15.95,14.36,135.66,False
538,8,-13.87,16.01,386.12,False
539,6,2.70,26.37,299.38,True
540,4,14.93,37.72,338.69,True
541,12,-40.89,5.16,102.57,False
542,5,-20.42,13.41,15.16,False
543,2,-11.06,18.35,62.25,False
544,4,-6.06,34.65,269.41,False
545,12,-28.57,7.25,210.22,False
546,3,-10.58,12.47,17.98,False
547,3,14.22,21.48,102.51,True
548,4,14.20,32.96,321.29,True
549,3,20.25,50.90,347.72,True
550,4,9.02,32.40,181.19,True
551,12,-14.43,11.91,393.22,False
552,8,-27.91,7.55,104.12,False
553,6,-29.47,7.82,24.43,False
554,7,-18.86,11.20,94.92,False
555,3,-10.51,19.19,91.29,False
556,2,-11.70,9.42,10.56,False
557,4,12.59,27.44,149.75,True
558,2,19.72,44.84,173.07,True
559,17,-40.70,2.47,117.89,False
560,7,-2.94,20.16,222.40,False
561,6,1.52,17.65,170.44,True
562,2,-8.10,42.96,68.65,False
563,4,-2.02,26.80,157.93,False
564,4,-19.82,6.25,28.98,False
565,9,1.41,12.54,189.81,True
566,4,-8.99,10.38,118.70,False
567,19,-42.70,3.82,173.13,False
568,3,8.75,26.92,192.16,True
569,4,24.58,33.45,281.00,True
570,19,-21.93,5.47,149.04,True
571,3,13.11,27.67,135.39,True
572,7,-25.90,6.66,58.93,False
573,3,15.02,29.76,144.06,True
574,3,-4.70,43.16,270.27,False
